network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
DDD,11,DDD_11 [D11KL] DDD_11_KEUR MASSAR_LAT DIOR — dir0: Lat-Dior → Terminus Keur Massar / dir1: Terminus Keur Massar → Lat-Dior,186,95,KEUR MASSAR ↔ LAT DIOR,UCAD ↔ Parcelles Assainies (DDD Ligne 11),ddd_11,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 95 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,12,DDD_12 [D12GP] DDD_12_Guediawaye_Palais-1 — dir0: Terminus Palais 1 → Terminus Guédiawayee / dir1: Terminus Guédiawayee → Terminus Palais 1,196,117,GUÉDIAWAYE ↔ PALAIS 1,Guédiawaye ↔ Parcelles Express (DDD Ligne 12),ddd_12,3,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 117 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,13,DDD_13 [D13T0] DDD_13_PALAIS-02_TERMINUS-DIEUPPEUL — dir0: Terminus Palais 2 → Terminus Liberté 5 / dir1: Terminus Liberté 5 → Terminus Palais 2,206,47,LIBERTÉ 5 ↔ PALAIS 2,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,14,,,,,Gare Maritime ↔ UCAD (DDD Ligne 14 Plateau),ddd_14,5,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
DDD,15,DDD_15 [D15PR] DDD_15_PALAIS1_RUFISQUE — dir0: Terminus Palais 1 → Terminus Rufisque P15 / dir1: Terminus Rufisque P15 → Terminus Palais 1,208,86,RUFISQUE <--> PALAIS 1,Ouakam ↔ Colobane via Mermoz (DDD Ligne 15),ddd_15,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 86 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,15A,,,,RUFISQUE ↔ PALAIS 1,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 15 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,15B,,,,RUFISQUE ↔ PALAIS 1,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 15 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,16,DDD_16 [D16MP] DDD_16_MALIKA_PALAIS1 — dir0: Terminus Palais 2 → Terminus Malika / dir1: Terminus Malika → Terminus Palais 2,204,85,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,"numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25 ; la liste officielle publie les variantes 16A, 16B — correspondance UNKNOWN",UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,16A,,,,MALIKA ↔ PALAIS 1,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 16 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,16B,,,,MALIKA ↔ PALAIS 1,,,,,,UNKNOWN,numéro seulement dans la liste officielle,MISSING_IN_SOURCE,numéro officiel 2026 absent du flux PassBi (2022-2023) ; le flux contient le numéro de base 16 sans suffixe — correspondance UNKNOWN,MISSING_IN_DAKAR_BUS,,aucun horaire source ; Dakar Bus: 
DDD,18,DDD_18 [D18D] DDD_18_DIEUPEUL — dir1: Terminus Liberté 5 → Lonase Dieuppeul,39,43,DIEUPPEUL ↔ CENTRE-VILLE ↔ DIEUPPEUL,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,20,DDD_20 [D20D] DDD_20_DIEUPEUL — dir0: Terminus Liberté 5 → Pharmacie La Miséricorde,39,45,DIEUPPEUL ↔ CENTRE-VILLE ↔ DIEUPPEUL,Petersen ↔ Rufisque (DDD Ligne 20 Interurbain),ddd_20,4,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 45 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,23,DDD_23 [D23P2] DDD_23_PALAIS-2_PARCELLE-ASSAINIES — dir0: Terminus Palais 1 → Terminus Parcelles Assaines / dir1: Terminus Parcelles Assaines → Terminus Palais 2,196,104,PARCELLES ASSAINIES ↔ PALAIS 1,Sandaga ↔ Keur Massar (DDD Ligne 23),ddd_23,5,CONFLICTING,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 104 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées CONFLICTING) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
DDD,102,DDD_102 [D102CC] DDD_102_CAMBERENE_COLOBANE — dir0: Terrain Colobane → Terminus Canberene 2 / dir1: Terminus Canberene 2 → Terrain Colobane,225,69,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,103,DDD_103 [D103AC] DDD_103_AEROPORT_COLOBANE — dir0: Terrain Colobane → AéRoport LéOpold SéDar Senghor / dir1: AéRoport LéOpold SéDar Senghor → Terrain Colobane,225,65,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,105,DDD_105 [D105CP] DDD_105_CAMBERENE_PETERSEN — dir0: Ecole Papa Gueye Fall → Terminus Canberene 2 / dir1: Terminus Canberene 2 → Grande Mosquée De Dakar,225,52,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,111,DDD_111 [D111LY] DDD_111_LECLERC_YOFF — dir0: Terminus Leclerc → Terminus Diamalaye / dir1: Terminus Diamalaye → Terminus Leclerc,225,58,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,121,DDD_121 [D121LS] DDD_121_LECLERC_SCAT URBAM — dir0: Terminus Leclerc → Terminus 121 / dir1: Terminus 121 → Terminus Leclerc,225,66,SCAT URBAM ↔ LECLERC,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,208,DDD_208 [D208BR] DDD_208_BAYAKH_RUFISQUE — dir0: Terminus Rufisque P15 → Bayakh / dir1: Bayakh → Terminus Rufisque P15,170,63,BAYAKH ↔ RUFISQUE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,210,DDD_210 [D210TM] DDD_210_BAUX-MARAICHERS_TIVAOUNE-PEULH — dir0: Gare Des Baux MaraichéRs → Tivaouane Peulh / dir1: Tivaouane Peulh → Gare Des Baux MaraichéRs,161,67,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,213,DDD_213 [D213DR] DDD_213_DIEUPPEUL_RUFISQUE — dir0: Terminus Liberté 5 → Gare De Rufisque / dir1: Gare De Rufisque → Terminus Liberté 5,161,94,RUFISQUE ↔ DIEUPPEUL,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,217,DDD_217 [D217OT] DDD_217_OUAKAM_THIAROYE — dir0: Terminus 7218 219 → Terminus Poste Thiaroye / dir1: Terminus Poste Thiaroye → Terminus 7218 219,192,124,THIAROYE ↔ OUAKAM,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,218,DDD_218 [D218AT] DDD_218_AEROPORT-LSS_THIAROYE — dir0: Terminus 7218 219 → Terminus Poste Thiaroye / dir1: Terminus Poste Thiaroye → Terminus 7218 219,153,67,THIAROYE ↔ AÉROPORT LSS,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,219,DDD_219 [D219DO] DDD_219_DAROUKHANE_OUAKAM — dir0: Terminus 7218 219 → Terminus Daroukhane / dir1: Terminus Daroukhane → Terminus 7218 219,188,117,DAROUKHANE ↔ OUAKAM,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,220,DDD_220 [D220DR] DDD_220_DAROUKHANE_RUFISQUE — dir0: Superette → Devant La Mairie De Guédiawaye / dir1: Devant La Mairie De Guédiawaye → Superette,156,72,RUFISQUE ↔ GUÉDIAWAYE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,221,DDD_221 [D221AG] DDD_221_ALMADIES_GADAYE — dir0: Rond-Point Garage Ngor → Terminus Gadaye / dir1: Terminus Gadaye → Rond-Point Garage Ngor,159,106,GADAYE ↔ ALMADIES,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,223,DDD_223 [D223DP] DDD_223_DAROUKHANE_PETERSEN — dir0: Petersen → Terminus Daroukhane / dir1: Terminus Daroukhane → Petersen,129,49,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,227,DDD_227 [D227TM] DDD_227_KEUR-MASSAR_TERMINUS-PARCELLES — dir0: Terminus Parcelles Assaines → Terminus Keur Massar / dir1: Terminus Keur Massar → Terminus Parcelles Assaines,181,82,TERMINUS KEUR MASSAR ↔ TERMINUS PARCELLES,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,228,DDD_228 [D228RY] DDD_228_RUFISQUE_YENNE — dir0: Terminus → Espi / dir1: Espi → Terminus,113,54,TERMINUS RUFISQUE ↔ YENNE,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,231,DDD_231 [D231BJ] DDD_231_BAUX-MARAICHERS_JAXAAY — dir0: Gare Des Baux MaraichéRs → Terminus La LinguèRe / dir1: Terminus La LinguèRe → Gare Des Baux MaraichéRs,161,71,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,232,DDD_232 [D232AB] DDD_232_AEROPORT_BAUX-MARAICHERS — dir0: AéRoport LéOpold SéDar Senghor → Gare Des Baux MaraichéRs / dir1: Gare Des Baux MaraichéRs → AéRoport LéOpold SéDar Senghor,136,70,BAUX MARAICHERS ↔ AÉROPORT LSS,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,233,DDD_233 [D233 M] DDD_233_BAUX-MARAICHERS_ Palais-1 — dir0: Terminus Palais 1 → Gare Des Baux MaraichéRs / dir1: Gare Des Baux MaraichéRs → Terminus Palais 1,129,78,BAUX MARAICHERS ↔ PALAIS 1,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,234,DDD_234 [D234JL] DDD_234_JAXAAY_LECLERC — dir0: Terminus Leclerc → Terminus La LinguèRe / dir1: Terminus La LinguèRe → Terminus Leclerc,138,67,JAXAAY ↔ LECLERC,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MATCH,numéro identique et 2/2 terminus concordants (libellés),MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,301,DDD_301 [D301MP] DDD_301_MEDINA_PARCELLES — dir0: Sham → Terminus Parcelles Assaines / dir1: Terminus Parcelles Assaines → Sham,288,49,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,305,DDD_305 [D305PY] DDD_305_PALAIS-2_YOFF — dir0: Aéroport Léopold Sédar Senghor → Terminus Palais 2 / dir1: Terminus Palais 2 → Aéroport Léopold Sédar Senghor,288,43,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,308,DDD_308 [D308OP] DDD_308_OUAKAM_PATTE-D'OIE — dir0: Terrain Basket Hôpital Nabil Choucair → Mamelles / dir1: Mamelles → Jardin Patte D'Oie,288,43,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,311,DDD_311 [D311TT] DDD_311_THIAROYE_TIV-PEULH — dir0: Croisement Keur Massar À Côté Station Senoil → Terminus De La Ligne 311 / dir1:  → ,82,17,LAC ROSE <--> CROISSEMENT KEUR MASSAR,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISSING_IN_DAKAR_BUS,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
DDD,315,DDD_315 [D315RY] DDD_315_RUFISQUE_YENNE — dir0: Terminus SéBikhotane → Gare De Rufisque / dir1: Gare De Rufisque → Terminus SéBikhotane,288,43,,,,,,,MISSING_IN_DAKAR_BUS,"numéro présent dans le flux, absent du référentiel Dakar Bus",MISSING_IN_OFFICIAL_LIST,numéro présent dans le flux PassBi (2022-2023) mais absent de la liste officielle 2026-09-25,UNKNOWN,,PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: ligne absente
