network,line_number,passbi_gtfs,passbi_gtfs_trips,passbi_gtfs_stops,official_2026,dakar_bus,dakar_bus_id,dakar_bus_stops,dakar_bus_data_status,dakar_bus_schedule_status,status_passbi_vs_dakar_bus,detail_passbi_vs_dakar_bus,status_passbi_vs_official,detail_passbi_vs_official,status_official_vs_dakar_bus,stops_comparison,schedule_comparison
AFTU,11,,,,,Grand Yoff ↔ Petersen Centre (AFTU Ligne 11),aftu_11,3,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,12,,,,,Guédiawaye ↔ Palais de Justice (AFTU Ligne 12),aftu_12,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,13,,,,,Fadia ↔ Sacré-Cœur (AFTU Ligne 13),aftu_13,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,14,,,,,Ngor ↔ UCAD (AFTU Ligne 14),aftu_14,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,15,,,,,Parcelles ↔ Rufisque (AFTU Ligne 15),aftu_15,3,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,16,,,,,Palais de Justice ↔ Pikine (AFTU Ligne 16),aftu_16,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,17,,,,,HLM Grand Yoff ↔ Cambérène (AFTU Ligne 17),aftu_17,3,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,18,,,,,Pikine ↔ UCAD (AFTU Ligne 18 Universitaire),aftu_18,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,19,,,,,Keur Mbaye Fall ↔ Mermoz (AFTU Ligne 19),aftu_19,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,20,,,,,Baux Maraîchers ↔ Gare TER Dakar (AFTU Ligne 20),aftu_20,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,21,,,,,Thiaroye ↔ Petersen (AFTU Ligne 21),aftu_21,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,22,,,,,Médina ↔ Yeumbeul (AFTU Ligne 22),aftu_22,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,23,,,,,Point E ↔ PEM Petersen (AFTU Ligne 23),aftu_23,4,UNVERIFIED,UNKNOWN,MISSING_IN_SOURCE,numéro Dakar Bus absent du flux PassBi,UNKNOWN,,MISSING_IN_SOURCE,,aucun horaire source ; Dakar Bus: UNKNOWN
AFTU,24,AFTU_24 [A24NU] AFTU_24_Notaire_UCAD — dir0: Terminus 24 En Face Ucad → Terminus 24 64 / dir1: Terminus 24 64 → Librairie Clairafrique,152,96,UCAD - NOTAIRE GUEDIAWAYE,Castor ↔ Yoff via Hann (AFTU Ligne 24),aftu_24,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 96 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,25,AFTU_25 [A25PP] AFTU_25_Parcelle-Assainies_Petersen — dir0: Petersen 1 → Terminus Parcelles Assainies / dir1: Terminus Parcelles Assainies → Petersen 1,183,80,PARCELLES ASSAINIES - PETERSEN,Hôpital Dalal Jamm ↔ Place de l'Obélisque (AFTU Ligne 25),aftu_25,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 80 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,26,AFTU_26 [A26PP] AFTU_26_Parcelle-Assainies_Poste-Thiaroye — dir0: Station Ciel Oil → Terminus Parcelles Assainies / dir1: Face Brigade Nationale Des Sapeurs Pompiers Parcelle Assainies → Station Ciel Oil,182,80,PARCELLES ASSAINIES - POST THIAROYE,Scat Urbam ↔ Yoff Pêcheurs (AFTU Ligne 26),aftu_26,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 80 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,27,AFTU_27 [A27GP] AFTU_27_Guediawaye MB_Petersen — dir0: Armurerie Coutellerie Amadou Niang → Terminus 27 / dir1: Terminus 27 → Petersen 2,126,74,MARCHE BOUBESS - PETERSEN,Médina ↔ Yoff (AFTU Ligne 27),aftu_27,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 74 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,28,AFTU_28 [A28HP] AFTU_28_Hamo VI_Petersen — dir0: Petersen 2 → Terminus 28 / dir1: Terminus 28 → Petersen 2,132,60,HAMO V/VI - PETERSEN,Patte d'Oie ↔ Hôpital Dalal Jamm (AFTU Ligne 28),aftu_28,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 60 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,29,AFTU_29 [A29MP] AFTU_29_Malibu_Petersen — dir0: Petersen 1 → Terminus 29 / dir1: Terminus 29 → Petersen 1,182,113,CITE NATION UNIES (CAMBERENE) - PETERSEN,Thiaroye ↔ Yeumbeul (AFTU Ligne 29),aftu_29,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 113 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,30,AFTU_30 [A30CG] AFTU_30_Colobane_Gadaye — dir0: Terminus 30 49 → Colobane / dir1: Colobane → Terminus 30 49,135,133,GADAYE (GUEDIEWAYE) - GARE DE COLOBANE,Patte d'Oie ↔ Petersen (AFTU Ligne 30),aftu_30,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 133 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,31,AFTU_31 [A31ST] AFTU_31_Sham_Thiaroye-kao — dir0:  →  / dir1: Sham Terminus 32  31 → Texaco,160,47,TALLY ICOTAF X ROUTE DES NIAYES - HOPITAL ABASS NDAO,Gare TER Dakar ↔ Colobane (AFTU Ligne 31),aftu_31,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,"flux 47 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,32,AFTU_32 [A32DS] AFTU_32_Daroukhane_Sham — dir0: Sham Terminus 32  31 → Serigne Assane Terminus 32 33 / dir1: Serigne Assane Terminus 32 33 → Sham Terminus 32  31,138,118,SAHM - SERIGNE ASSANE,Hann ↔ Keur Mbaye Fall (AFTU Ligne 32),aftu_32,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 118 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,33,AFTU_33 [A33CD] AFTU_33_Colobane_Daroukane — dir0: Serigne Assane Terminus 32 33 → Gare Routiére De Colobane / dir1: Gare Routiére De Colobane → Serigne Assane Terminus 32 33,127,122,COLOBANE - SERIGNE ASSANE,Ouakam ↔ Parcelles (AFTU Ligne 33),aftu_33,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 122 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,34,AFTU_34 [A34LN] AFTU_34_LAT-DIOR_Nord-Foire — dir0: Ecole Japonaise Nord Foire → Lat Dior / dir1: Lat Dior → Ecole Japonaise Nord Foire,170,95,NORD FOIRE - LAT DIOR,Fadia ↔ Gare TER Dakar (AFTU Ligne 34),aftu_34,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 95 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,35,AFTU_35 [A35NP] AFTU_35_Ngor_Pikine-Texaco — dir0: Texaco → Garage Ngor / dir1: Garage Ngor → Texaco,177,96,NGOR - PIKINE TEXACO,HLM ↔ Petersen via Castor (AFTU Ligne 35),aftu_35,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (1 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 96 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,36,AFTU_36 [A36DN] AFTU_36_Daroukhane_Ngor — dir0: Garage Ngor → Serigne Assane Terminus 36 46 70 / dir1: Serigne Assane Terminus 36 46 70 → Garage Ngor,166,150,MARCHE NDIAREME - NGOR,HLM Grand Yoff ↔ Yeumbeul (AFTU Ligne 36),aftu_36,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 150 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,37,AFTU_37 [A37AU] AFTU_37_APIX_UCAD — dir0: Terminus 37 71 → Terminus 37 50 / dir1: Terminus 37 50 → Terminus 37 71,103,201,CITÉ APIX - UCAD (CLAUDEL),Keur Mbaye Fall ↔ Yoff (AFTU Ligne 37),aftu_37,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 201 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,38,AFTU_38 [A38GS] AFTU_38_Guediawaye_Sahm — dir0: Sham Terminus 32  31 → Pai Terminus 38 / dir1:  → ,136,61,CITE DES ENSEIGNANTS - SHAM,Mermoz ↔ Keur Massar (AFTU Ligne 38),aftu_38,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 61 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,39,AFTU_39 [A39DL] AFTU_39_Diamalaye_Lat Dior — dir0: Lat Dior → Terminus 59-39-69-80 Près De La Plage De Diamalaye / dir1: Terminus 59-39-69-80 Près De La Plage De Diamalaye → Lat Dior,126,133,LAT-DIOR - DIAMALAYE,Colobane ↔ Fadia (AFTU Ligne 39),aftu_39,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 133 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,40,AFTU_40 [A40MP] AFTU_40_Mbao_Petersen — dir0: Petersen 2 → Terminus Grand Mbao / dir1: Terminus Grand Mbao → Petersen 2,113,101,GRAND MBAO - PETERSEN,Bené Barak ↔ Sandaga (AFTU Ligne 40),aftu_40,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 101 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,41,AFTU_41 [A41GP] AFTU_41_Guediawaye_Petersen — dir0: Petersen 2 → Terminus 41 / dir1:  → ,123,60,PETERSEN - ETAGE MADIALE,Hann ↔ Diamniadio (AFTU Ligne 41),aftu_41,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 60 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,42,AFTU_42 [A42GO] AFTU_42_Gadaye_Ouakam — dir0: Devant Terminus 42 Et 44 Marché Jeudi → Terminus 30 49 / dir1: Terminus 30 49 → Devant Terminus 42 Et 44 Marché Jeudi,161,131,GADAYE (GUEDIEWAYE) - OUAKAM BAYE,Fadia ↔ Thiaroye (AFTU Ligne 42),aftu_42,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 131 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,43,AFTU_43 [A43CO] AFTU_43_Comico_Ouakam — dir0: Terminus 43 → Terminus 43 Yeumbeul Nord / dir1: Terminus 43 Yeumbeul Nord → Terminus 43,137,162,OUAKAM - THIERNO NDIAYE,Yeumbeul ↔ Thiaroye (AFTU Ligne 43),aftu_43,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,numéro identique mais 1/2 terminus concordant(s) seulement,MISMATCH,"flux 162 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,44,AFTU_44 [A44MO] AFTU_44_Mbao_Ouakam — dir0: Terminus 43 → Terminus Grand Mbao / dir1: Terminus Grand Mbao → Terminus 43,190,109,GRAND MBAO - OUAKAM,Yeumbeul ↔ Keur Mbaye Fall (AFTU Ligne 44),aftu_44,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 109 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,45,AFTU_45 [A45kP] AFTU_45_kounoune_Parcelles Assainies — dir0: Terminus Parcelles Assainies → Terminus 45 / dir1: Terminus 45 → Terminus Parcelles Assainies,143,191,KOUNOUNE NGALAM - PARCELLES EGLISE,Scat Urbam ↔ Colobane (AFTU Ligne 45),aftu_45,3,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 191 arrêts géolocalisés vs Dakar Bus 3 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,46,AFTU_46 [A46GL] AFTU_46_Guediawaye_Lat Dior — dir0: Lat Dior → Serigne Assane Terminus 36 46 70 / dir1:  → ,140,69,SDE SERIGNE ASSANE - LAT DIOR,Cambérène ↔ Ngor (AFTU Ligne 46),aftu_46,4,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 69 arrêts géolocalisés vs Dakar Bus 4 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
AFTU,47,AFTU_47 [A47LA] AFTU_47_Lat Dior_Almadies — ,0,0,LAT DIOR - ALMADIES,Hôpital Dalal Jamm ↔ Médina (AFTU Ligne 47),aftu_47,5,UNVERIFIED,UNKNOWN,MISMATCH,numéro identique mais aucun terminus concordant (2 comparés),MATCH,numéro identique et 2/2 terminus concordants (libellés),MISMATCH,"flux 0 arrêts géolocalisés vs Dakar Bus 5 arrêts (coordonnées UNVERIFIED) — ordre des arrêts : UNKNOWN (granularités incomparables, aucun rapprochement géométrique effectué)",PassBi: horaires HISTORIQUES (calendrier 2022-01-01→2023-12-31) ; Dakar Bus: UNKNOWN
