route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
AFTU_37,DAILY,AFTU_37_001,Guédiawaye,0,
AFTU_37,DAILY,AFTU_37_002,Rebeuss,1,
AFTU_38,DAILY,AFTU_38_001,Guédiawaye,0,
AFTU_38,DAILY,AFTU_38_002,Gueule Tapée,1,
AFTU_39,DAILY,AFTU_39_001,Rebeuss,0,
AFTU_39,DAILY,AFTU_39_002,Parcelles,1,
AFTU_40,DAILY,AFTU_40_001,Madiale,0,
AFTU_40,DAILY,AFTU_40_002,Petersen,1,
AFTU_41,DAILY,AFTU_41_001,Rebeuss,0,
AFTU_41,DAILY,AFTU_41_002,Gadaye,1,
AFTU_42,DAILY,AFTU_42_001,Ouakam,0,
AFTU_42,DAILY,AFTU_42_002,Guédiawaye,1,
AFTU_43,DAILY,AFTU_43_001,Ouakam,0,
AFTU_43,DAILY,AFTU_43_002,Keur Massar,1,
AFTU_44,DAILY,AFTU_44_001,Ouakam,0,
AFTU_44,DAILY,AFTU_44_002,Pikine,1,
AFTU_45,DAILY,AFTU_45_001,Plateau,0,
AFTU_45,DAILY,AFTU_45_002,Keur Massar,1,
AFTU_46,DAILY,AFTU_46_001,Guédiawaye,0,
AFTU_46,DAILY,AFTU_46_002,Rebeuss,1,
AFTU_47,DAILY,AFTU_47_001,Rebeuss,0,
AFTU_47,DAILY,AFTU_47_002,Camp Vert,1,
AFTU_48,DAILY,AFTU_48_001,Ngor,0,
AFTU_48,DAILY,AFTU_48_002,Gadaye,1,
AFTU_49,DAILY,AFTU_49_001,Malika,0,
AFTU_49,DAILY,AFTU_49_002,Petersen,1,
AFTU_50,DAILY,AFTU_50_001,Rebeuss,0,
AFTU_50,DAILY,AFTU_50_002,Malika,1,
AFTU_51,DAILY,AFTU_51_001,Gendarmerie,0,
AFTU_51,DAILY,AFTU_51_002,Rufisque,1,
AFTU_52,DAILY,AFTU_52_001,Petersen,0,
AFTU_52,DAILY,AFTU_52_002,Keur Massar,1,
AFTU_53,DAILY,AFTU_53_001,Sébikhotane,0,
AFTU_53,DAILY,AFTU_53_002,Lac Rose,1,
AFTU_54,DAILY,AFTU_54_001,Petersen,0,
AFTU_54,DAILY,AFTU_54_002,Rufisque,1,
AFTU_55,DAILY,AFTU_55_001,Petersen,0,
AFTU_55,DAILY,AFTU_55_002,Jaxaay,1,
AFTU_56,DAILY,AFTU_56_001,Rufisque,0,
AFTU_56,DAILY,AFTU_56_002,Liberté 6,1,
AFTU_57,DAILY,AFTU_57_001,Petersen,0,
AFTU_57,DAILY,AFTU_57_002,Keur Massar,1,
AFTU_58,DAILY,AFTU_58_001,Gueule Tapée,0,
AFTU_58,DAILY,AFTU_58_002,Mbao,1,
AFTU_60,DAILY,AFTU_60_001,Colobane,0,
AFTU_60,DAILY,AFTU_60_002,Bargny,1,
AFTU_61,DAILY,AFTU_61_001,Mamelles,0,
AFTU_61,DAILY,AFTU_61_002,Keur Massar,1,
AFTU_62,DAILY,AFTU_62_001,Guédiawaye,0,
AFTU_62,DAILY,AFTU_62_002,Rufisque,1,
AFTU_63,DAILY,AFTU_63_001,Rufisque,0,
AFTU_63,DAILY,AFTU_63_002,Guédiawaye,1,
AFTU_64,DAILY,AFTU_64_001,Jaxaay,0,
AFTU_64,DAILY,AFTU_64_002,Colobane,1,
AFTU_65,DAILY,AFTU_65_001,Colobane,0,
AFTU_65,DAILY,AFTU_65_002,Jaxaay,1,
AFTU_66,DAILY,AFTU_66_001,Yoff,0,
AFTU_66,DAILY,AFTU_66_002,Gorom,1,
AFTU_67,DAILY,AFTU_67_001,Rufisque,0,
AFTU_67,DAILY,AFTU_67_002,Ouakam,1,
AFTU_70,DAILY,AFTU_70_001,Guédiawaye,0,
AFTU_70,DAILY,AFTU_70_002,Jaxaay,1,
AFTU_71,DAILY,AFTU_71_001,Kounoune,0,
AFTU_71,DAILY,AFTU_71_002,Guédiawaye,1,
AFTU_72,DAILY,AFTU_72_001,Guédiawaye,0,
AFTU_72,DAILY,AFTU_72_002,Kounoune,1,
AFTU_73,DAILY,AFTU_73_001,Thiaroye,0,
AFTU_73,DAILY,AFTU_73_002,Lac Rose,1,
